prompt_index,prompt_text,completion_index,completion,full_text,reached_end
0,A review of The Social Network,0,", the movie about the founding of Facebook, has revealed that the movie is based on a lot of inaccuracies.

The movie is based on the book The Accidental Billionaires: The Founding of Facebook by Sean Parker, Eduardo Saverin and Dustin Moskovitz. The movie was written by Aaron Sorkin, who also wrote The West Wing.

The movie has been criticised for not including the real story behind the founding of Facebook, which was actually a group of Harvard students who wanted to create a social network","A review of The Social Network, the movie about the founding of Facebook, has revealed that the movie is based on a lot of inaccuracies.

The movie is based on the book The Accidental Billionaires: The Founding of Facebook by Sean Parker, Eduardo Saverin and Dustin Moskovitz. The movie was written by Aaron Sorkin, who also wrote The West Wing.

The movie has been criticised for not including the real story behind the founding of Facebook, which was actually a group of Harvard students who wanted to create a social network",false
1,A review of The Last Witch Hunter,0,", a new action-horror film from director Neill Blomkamp, has revealed that the film was originally going to be a much darker film, and that it was going to be a “fantasy” film.

The Last Witch Hunter is a new action-horror film that stars Vin Diesel, Rose Leslie, and Tom Felton. The film follows a witch hunter named Ethan who is sent to a small village of the Witchcraft and the Occult (Witchcraft and the Occult)

The Last Witch Hunter is a film that is both an action film and a fantasy film. It","A review of The Last Witch Hunter, a new action-horror film from director Neill Blomkamp, has revealed that the film was originally going to be a much darker film, and that it was going to be a “fantasy” film.

The Last Witch Hunter is a new action-horror film that stars Vin Diesel, Rose Leslie, and Tom Felton. The film follows a witch hunter named Ethan who is sent to a small village of the Witchcraft and the Occult (Witchcraft and the Occult)

The Last Witch Hunter is a film that is both an action film and a fantasy film. It",false
2,A review of Victor Frankenstein,0,"

The Frankenstein Chronicles

A review of Victor Frankenstein

Posted on November 1, 2018 by Sonoma Valley Sun

In the new BBC series, The Frankenstein Chronicles, the young Victor Frankenstein (Douglas Hodge) is a young man who is obsessed with science and with the creation of life. He is a brilliant scientist, but his work is not without its flaws. He is not above using unethical means to achieve his goals. He is also a man who is willing to do whatever it takes to achieve his goals.

When he","A review of Victor Frankenstein

The Frankenstein Chronicles

A review of Victor Frankenstein

Posted on November 1, 2018 by Sonoma Valley Sun

In the new BBC series, The Frankenstein Chronicles, the young Victor Frankenstein (Douglas Hodge) is a young man who is obsessed with science and with the creation of life. He is a brilliant scientist, but his work is not without its flaws. He is not above using unethical means to achieve his goals. He is also a man who is willing to do whatever it takes to achieve his goals.

When he",false
3,A review of A Street Cat Named Bob,0,", by James Bowen

A Street Cat Named Bob, by James Bowen

A Street Cat Named Bob

James Bowen

Penguin Random House

May 2, 2017

James Bowen's A Street Cat Named Bob is a book about a cat, but it's also a book about a man. It's about a man who loves his cat, and it's about a cat who loves his human. It's about a man who has a job, and a cat who has a job. It's about a man who has a home, and a cat who has a home. It's about a man who has a family, and a cat who has a family. It's about a man","A review of A Street Cat Named Bob, by James Bowen

A Street Cat Named Bob, by James Bowen

A Street Cat Named Bob

James Bowen

Penguin Random House

May 2, 2017

James Bowen's A Street Cat Named Bob is a book about a cat, but it's also a book about a man. It's about a man who loves his cat, and it's about a cat who loves his human. It's about a man who has a job, and a cat who has a job. It's about a man who has a home, and a cat who has a home. It's about a man who has a family, and a cat who has a family. It's about a man",false
4,A review of Green Room,0,"

Green Room

Directed by Jeremy Saulnier

Starring Anton Yelchin, Imogen Poots, Alia Shawkat, Patrick Stewart, and Jesse Plemons

The Green Room is a film that I have been waiting to see for a long time. It’s a film that I had heard about from friends, and I had heard about from the trailer. I had heard about it from the film’s director, Jeremy Saulnier. I had heard about it from the film’s star, Anton Yelchin. I had heard about it from the film’s producer, Scott Rudin. I had heard about it","A review of Green Room

Green Room

Directed by Jeremy Saulnier

Starring Anton Yelchin, Imogen Poots, Alia Shawkat, Patrick Stewart, and Jesse Plemons

The Green Room is a film that I have been waiting to see for a long time. It’s a film that I had heard about from friends, and I had heard about from the trailer. I had heard about it from the film’s director, Jeremy Saulnier. I had heard about it from the film’s star, Anton Yelchin. I had heard about it from the film’s producer, Scott Rudin. I had heard about it",false
5,A review of Blackhat,0," by Bruce Schneier

I’ve been reading Bruce Schneier’s Blackhat for the last couple of days. It’s a very interesting book. I’m not going to review it here, because it’s a technical book and I’m not a technical reviewer. I’m going to quote from it and talk about some of the things that caught my attention.

The book is divided into three parts. The first part is a history of the Internet. The second part is a history of hacking. The third part is a history of security.

The first part is a","A review of Blackhat by Bruce Schneier

I’ve been reading Bruce Schneier’s Blackhat for the last couple of days. It’s a very interesting book. I’m not going to review it here, because it’s a technical book and I’m not a technical reviewer. I’m going to quote from it and talk about some of the things that caught my attention.

The book is divided into three parts. The first part is a history of the Internet. The second part is a history of hacking. The third part is a history of security.

The first part is a",false
6,A review of Storks,0,"

Storks

Directed by: Ken Daurio

Starring: Andy Samberg, Kelsey Grammer, Jennifer Aniston, Keegan-Michael Key, Jordan Peele, Katie Crown

Rated PG for some action

1 hr. 55 min.

Storks is a film that's not for everyone. It's not for the squeamish. It's not for the easily offended. It's not for the easily bored.

It's not for the easily distracted. It's not for the easily distracted. It's not for the easily distracted. It's not for the easily distracted.

It's for the people who like to laugh.","A review of Storks

Storks

Directed by: Ken Daurio

Starring: Andy Samberg, Kelsey Grammer, Jennifer Aniston, Keegan-Michael Key, Jordan Peele, Katie Crown

Rated PG for some action

1 hr. 55 min.

Storks is a film that's not for everyone. It's not for the squeamish. It's not for the easily offended. It's not for the easily bored.

It's not for the easily distracted. It's not for the easily distracted. It's not for the easily distracted. It's not for the easily distracted.

It's for the people who like to laugh.",false
7,A review of American Sniper,0,", the latest film about the life of Chris Kyle, the US Navy SEAL who was the deadliest sniper in US military history, has been widely praised for its accuracy.

The film, which stars Bradley Cooper as Kyle and Sienna Miller as his wife Taya, is based on Kyle’s memoir of the same name. It is the highest-grossing film of 2014, having taken $320m (£200m) at the global box office.

But the film has also been criticised for its portrayal of the Iraqi city of Fallujah, which was the scene of some of","A review of American Sniper, the latest film about the life of Chris Kyle, the US Navy SEAL who was the deadliest sniper in US military history, has been widely praised for its accuracy.

The film, which stars Bradley Cooper as Kyle and Sienna Miller as his wife Taya, is based on Kyle’s memoir of the same name. It is the highest-grossing film of 2014, having taken $320m (£200m) at the global box office.

But the film has also been criticised for its portrayal of the Iraqi city of Fallujah, which was the scene of some of",false
8,A review of Dallas Buyers Club,0,"

By:

01/25/2018

Dallas Buyers Club (DBC) is a film that takes place in the 1980s and follows the story of Ron Woodroof (Matthew McConaughey), a Texas-based man who develops AIDS and decides to become a ""buyer"" of unapproved drugs from other countries. The film is based on the true story of Woodroof's journey to obtain the drugs he needs to survive. The film was released in 2013 and received critical acclaim, winning three Academy Awards, including Best Actor for McConaughey.

DBC is a very","A review of Dallas Buyers Club

By:

01/25/2018

Dallas Buyers Club (DBC) is a film that takes place in the 1980s and follows the story of Ron Woodroof (Matthew McConaughey), a Texas-based man who develops AIDS and decides to become a ""buyer"" of unapproved drugs from other countries. The film is based on the true story of Woodroof's journey to obtain the drugs he needs to survive. The film was released in 2013 and received critical acclaim, winning three Academy Awards, including Best Actor for McConaughey.

DBC is a very",false
9,A review of Lincoln,0," County Sheriff's Office

The Lincoln County Sheriff's Office is a professional law enforcement agency that is dedicated to serving the citizens of Lincoln County. The Lincoln County Sheriff's Office is a part of the Oregon State Police and is responsible for the protection of life and property within Lincoln County. The Lincoln County Sheriff's Office is a 24/7 operation that is staffed with a dedicated group of professional law enforcement officers who are committed to providing a safe and","A review of Lincoln County Sheriff's Office

The Lincoln County Sheriff's Office is a professional law enforcement agency that is dedicated to serving the citizens of Lincoln County. The Lincoln County Sheriff's Office is a part of the Oregon State Police and is responsible for the protection of life and property within Lincoln County. The Lincoln County Sheriff's Office is a 24/7 operation that is staffed with a dedicated group of professional law enforcement officers who are committed to providing a safe and",false
